ziplenderId,zip,district,state,lenderid,activestatus,createdon,updatedon,createdby,updatedby
271,135133,Ambala,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
272,136026,Kaithal,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
273,136132,Kurukshetra,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
274,140101,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
275,140102,Ropar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
276,140103,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
277,140108,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
278,140109,Mohali,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
279,140110,Mohali,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
280,140111,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
281,140112,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
282,140113,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
283,140114,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
284,140115,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
285,140116,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
286,140117,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
287,140118,Ropar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
288,140119,Chandigarh,Chandigarh,11,1,04-10-2023,04-10-2023,Vastu,Vastu
289,140125,Chandigarh,Chandigarh,11,1,04-10-2023,04-10-2023,Vastu,Vastu
290,140126,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
291,140301,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
292,140306,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
293,140307,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
294,140308,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
295,140401,Patiala,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
296,140405,Fatehgarh Sahib,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
297,140407,Fatehgarh Sahib,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
298,140408,Fatehgarh Sahib,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
299,140412,Fatehgarh Sahib,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
300,140413,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
301,140601,Patiala,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
302,140602,Fatehgarh Sahib,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
303,140604,Mohali,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
304,140802,Fatehgarh Sahib,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
305,140901,Rupnagar,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
306,141002,Ludhiana,Punjab,11,1,04-10-2023,04-10-2023,Vastu,Vastu
